date,MTN US Equity,RACE IM Equity,QSR US Equity,PYPL US Equity,CRM US Equity,MSFT US Equity,DG US Equity,NYT US Equity,LYV US Equity,FND US Equity,CMG US Equity,EXPE US Equity,6758 JP Equity,ETSY US Equity,ADBE US Equity,PLNT US Equity,PLAN US Equity,AYX US Equity,V US Equity,NOW US Equity,SAIL US Equity,CFR SW Equity,ADS GR Equity,MA US Equity,CHTR US Equity,BBWI US Equity,VIV FP Equity,COUP US Equity,Z US Equity,ABNB US Equity,SQ TB Equity,NEWR US Equity,LW US Equity,CXM US Equity,AENA SM Equity,FDC US Equity,BKNG US Equity,OKTA US Equity,AMZN US Equity,WP US Equity,PHIA NA Equity,RAMP US Equity,BURL US Equity,SPLK US Equity,DPZ US Equity,EL FP Equity,DIS US Equity,BILL US Equity,ORLY US Equity,STZ US Equity,EVD GR Equity,GO US Equity,MCD US Equity,NFLX US Equity,TTWO US Equity,INTU US Equity,WLN FP Equity,SNAP US Equity,GOOGL US Equity,DATA US Equity,RH US Equity,MC FP Equity,7974 JP Equity,DLTR US Equity,ZEN US Equity,BBY US Equity,SHOP US Equity,EL US Equity,GLBE US Equity
4/1/2019,218.6,120.8,65.65,105.55,161.18,119.02,118.33,33.52,64.48,41.45,14.1148,120.25,951.2,68.16,272.17,69.73,38.05,84.42,157.26,245.73,#N/A,73.6,218.8,239.05,346.22,21.99068664,1.659614834,89.95,35.31,#N/A,2.26,95.51,73.97,#N/A,16.07,26.65,1759.23,84.23,90.7095,114.12,33.13616545,54.79,155.25,126.84,249.45,97.2,112.51,#N/A,26.10266667,177.59,42.22,#N/A,188.39,366.96,95.69,265.75,53.55,11.36,59.949,129.43,103.36,333.25,3192,103.72,85.33,72.09,20.604,164.77,#N/A
5/1/2019,229.99,120.75,65.23,110.94,162.15,127.88,123.82,33.24,63.72,47.59,13.7712,128.81,1042.4,66.79,283.35,75.38,37.97,87.51,162.79,270.4,#N/A,74.5,228.8,248.75,371.04,20.13994528,1.667348961,102.07,32.49,#N/A,2.6,104.7,70.1,#N/A,16.535,25.56,1829.52,102.15,95.576,116.84,34.44256048,57.54,170.08,134.81,271.46,108.5,136.38,#N/A,24.90333333,212.09,45.66,#N/A,194.17,378.81,99.05,243.85,56.15,11.2,58.666,120.74,105.69,349.05,3800,109.65,84.77,73.83,24.516,170.3,#N/A
6/1/2019,215.11,127.6,65.8,109.75,151.41,123.68,127.28,31.82,60.82,35.52,13.1994,115,1051.4,62.31,270.9,76.47,43.51,86.86,161.33,261.93,#N/A,73.74,255.65,251.49,376.8,18.15181264,1.555204114,109.21,43.02,#N/A,2.44,100.32,59.25,#N/A,16.49,25.42,1656.22,113.22,88.7535,121.64,32.16090528,51.38,156.58,113.99,279.5,103.15,132.04,#N/A,24.758,176.45,39.98,#N/A,198.27,343.28,108.15,244.85,53.9,11.89,55.325,112.47,85.15,338.6,3870,101.59,84.25,62.67,27.49,161.03,#N/A
7/1/2019,222.66,144.05,69.2,115.03,154.06,135.68,135.87,33.79,67.16,42.28,14.5078,133.24,1156.2,62.06,300.97,75.3,50.37,108.42,173.94,283.51,#N/A,82.56,274.6,266.77,397.74,21.50577624,1.579695518,130.98,47.58,#N/A,2.68,88.99,62.53,#N/A,17.46,27.48,1898.42,122.42,96.1095,126.43,35.32256268,47.36,170.76,125.33,271.1,113.6,141.65,#N/A,24.956,196.09,41.32,33.1,206.3,374.6,115.96,264.2,63.85,14.35,55,168.11,118.87,374.6,4005,110.09,90.62,72.43,30.468,182.23,#N/A
8/1/2019,244.52,149.4,72.78,110.8,150.81,138.06,132.15,35.57,71.25,36.36,15.8086,131.41,1224.6,68.14,298.44,78.03,56.28,131.57,179.17,274,#N/A,85.4,292.55,274.16,384.38,19.64695304,1.612565559,136.2,49.7,#N/A,2.82,94.45,66.55,#N/A,16.745,31.69,1879.86,133.08,92.766,135,39.60009916,51.61,177.13,135.06,245.83,127.7,141.85,#N/A,24.98666667,193.6,45.48,38.93,211.25,319.5,122.1,277.96,65.2,16.68,60.589,169.53,136.08,379.1,4144,97.69,82.68,68.27,34.139,182.76,#N/A
9/1/2019,236.28,143.2,78.45,109.05,156.07,137.86,156.09,29.2,69.51,49.22,16.7684,130.1,1208.4,52.79,284.51,70.61,54.33,142.45,180.82,261.84,#N/A,76.8,270.05,281.37,409.59,13.34311784,1.638990494,138.93,34.43,#N/A,2.54,57.34,70.39,#N/A,16.4,#N/A,1966.41,126.5,88.8145,#N/A,38.90607681,42.36,202.49,111.82,226.84,134.25,137.26,#N/A,25.584,204.35,49.82,40.45,217.97,293.75,131.97,288.36,62.8,15.83,59.5265,#N/A,143.25,362.4,4029,101.53,80.2,63.65,38.539,197.99,#N/A
10/1/2019,228.5,138.7,70.84,102.53,147.69,137.07,159.04,28.33,66.24,49.43,16.5768,133.91,1270,55.3,272.71,58.64,47.52,106.97,174.29,250.13,#N/A,71.54,281.4,270.94,405.6,15.42823256,1.617721644,133.34,29.8,#N/A,2.34,61.64,73.57,#N/A,16.935,#N/A,1978.03,103.69,86.7825,#N/A,37.55885694,41.61,198.91,117.07,245.77,129.15,129.55,#N/A,26.71133333,209.41,51.75,33.69,209.02,269.58,122.91,264.3,57.1,15.52,60.3,#N/A,170.55,357.1,4092,113.25,72.71,68.01,31.322,197.25,#N/A
11/1/2019,231.81,144.45,65.21,104.98,159.74,143.72,159.9,31.14,66.02,46.13,15.3726,137.8,1323.8,45.655,277.82,63.03,48.5,99.28,180.93,253.03,#N/A,78.5,279.7,279.05,476.48,14.17554736,1.611276538,142.46,33.69,#N/A,2,65.45,77.57,#N/A,16.74,#N/A,2032.02,111.07,89.572,#N/A,35.93039925,40.85,191.89,123.11,269.26,136.05,132.75,#N/A,29.134,191,54.05,32.22,193.94,286.81,116.9,256.48,53.6,15.18,63.6125,#N/A,175.84,389.25,4150,111.74,72.23,72.92,31.676,186.58,#N/A
12/1/2019,242.67,153.4,65.63,108.01,162.89,151.38,157.36,32.25,69.81,48.01,16.2784,101.66,1380.8,43.39,309.53,73.92,53.92,113.53,184.51,283.04,#N/A,76.16,282.45,292.23,470.01,15.46864176,1.606120453,153.49,39.15,#N/A,1.78,68.02,83.98,#N/A,16.67,#N/A,1904.03,129.78,90.04,#N/A,38.23473492,50.09,225,149.22,294.3,141,151.58,#N/A,29.48533333,186.06,55.25,33.13,194.48,314.66,121.35,258.89,58.75,15.25,65.2045,#N/A,205.59,407.3,4235,91.46,79,80.64,33.675,195.47,#N/A
1/1/2020,239.83,147.9,63.77,108.17,162.64,157.7,155.98,32.17,71.47,50.81,16.7422,108.14,1480.2,44.3,329.81,74.68,52.4,100.07,187.9,282.32,#N/A,76.06,289.8,298.59,485.08,14.64429408,1.664126408,146.25,45.94,#N/A,1.68,65.71,86.03,#N/A,17.05,#N/A,2053.73,115.37,92.392,#N/A,39.48216072,48.07,228.03,149.77,293.78,135.8,144.63,38.05,29.21733333,189.75,56.05,32.45,197.61,323.57,122.43,261.93,63.15,16.33,66.9695,#N/A,213.5,414.2,4397,94.05,76.63,87.8,39.758,206.54,#N/A
